Cell habitat variables for Tailrace site
Official input file, June 2008
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide
406,0.15,0.40,0.01,0.30
407,0.10,1.00,0.15,0.30
408,0.03,3.75,0.02,0.01
409,0.03,3.75,0.02,0.01
410,0.03,3.75,0.02,0.01
411,0.03,3.75,0.02,0.01
412,0.15,1.50,0.00,0.02
413,0.01,0.30,0.00,0.60
414,0.15,1.50,0.00,0.02
415,0.01,0.30,0.00,0.60
416,0.15,0.75,0.00,0.30
417,0.15,0.75,0.00,0.30
418,0.15,0.75,0.00,0.30
419,0.01,0.30,0.00,0.60
420,0.15,0.75,0.00,0.30
421,0.03,3.75,0.02,0.01
422,0.03,3.75,0.02,0.01
423,0.03,3.75,0.02,0.01
424,0.03,3.75,0.02,0.01
425,0.03,3.75,0.02,0.01
426,0.03,3.75,0.02,0.01
427,0.03,3.75,0.02,0.01
428,0.03,3.75,0.02,0.01
429,0.40,0.30,0.00,0.30
430,0.10,0.30,0.01,0.50
431,0.03,3.75,0.02,0.01
432,0.15,0.40,0.01,0.30
433,0.03,3.75,0.02,0.01
434,0.03,3.75,0.02,0.01
435,0.15,0.40,0.01,0.30
436,0.10,0.30,0.01,0.50
437,0.15,0.40,0.01,0.30
438,0.03,3.75,0.02,0.01
439,0.03,3.75,0.02,0.01
440,0.03,3.75,0.02,0.01
441,0.03,3.75,0.02,0.01
442,0.03,3.75,0.02,0.01
443,0.03,3.75,0.02,0.01
444,0.03,3.75,0.02,0.01
445,0.01,0.30,0.00,0.60
446,0.01,0.30,0.00,0.60
447,0.01,0.30,0.00,0.60
448,0.01,0.30,0.00,0.60
449,0.01,0.30,0.00,0.60
450,0.15,0.75,0.00,0.30
451,0.03,3.75,0.02,0.01
452,0.01,0.30,0.00,0.60
453,0.03,3.75,0.02,0.01
454,0.01,0.30,0.00,0.60
455,0.01,0.30,0.00,0.60
456,0.40,0.30,0.00,0.30
457,0.40,0.30,0.00,0.30
458,0.15,1.00,0.00,0.20
459,0.15,0.40,0.01,0.30
460,0.15,0.40,0.01,0.30
461,0.05,1.00,0.00,0.15
462,0.03,3.75,0.02,0.01
463,0.03,3.75,0.02,0.01
464,0.15,0.40,0.01,0.30
465,0.15,0.40,0.01,0.30
466,0.15,0.40,0.01,0.30
467,0.03,3.75,0.02,0.01
468,0.15,0.40,0.01,0.30
469,0.03,3.75,0.02,0.01
470,0.02,0.50,0.30,0.40
471,0.02,0.50,0.30,0.40
472,0.02,0.50,0.30,0.40
473,0.02,0.50,0.30,0.40
474,0.02,0.50,0.30,0.40
475,0.01,0.30,0.00,0.60
476,0.02,0.50,0.30,0.40
477,0.01,0.30,0.00,0.60
478,0.03,3.75,0.02,0.01
479,0.03,3.75,0.02,0.01
480,0.02,0.50,0.30,0.40
481,0.05,1.00,0.00,0.15
482,0.10,1.50,0.00,0.10
483,0.40,0.30,0.00,0.30
484,0.10,1.50,0.00,0.10
485,0.10,1.50,0.00,0.10
486,0.05,1.00,0.00,0.15
487,0.15,1.00,0.00,0.20
488,0.10,1.50,0.00,0.10
489,0.15,0.40,0.01,0.30
490,0.15,0.40,0.01,0.30
491,0.15,0.40,0.01,0.30
492,0.15,0.40,0.01,0.30
493,0.15,0.40,0.01,0.30
494,0.05,1.00,0.00,0.15
495,0.01,3.00,0.00,0.01
496,0.01,3.00,0.00,0.01
497,0.01,3.00,0.00,0.01
498,0.02,0.50,0.30,0.40
499,0.20,0.50,0.00,0.20
500,0.02,0.50,0.30,0.40
501,0.02,0.50,0.30,0.40
502,0.02,0.50,0.30,0.40
503,0.02,0.50,0.30,0.40
504,0.02,0.50,0.30,0.40
505,0.02,0.50,0.30,0.40
506,0.02,0.50,0.30,0.40
507,0.05,1.00,0.00,0.15
508,0.15,0.40,0.01,0.30
509,0.05,2.00,0.00,0.05
510,0.05,2.00,0.00,0.05
511,0.05,2.00,0.00,0.05
512,0.05,1.00,0.00,0.15
513,0.05,2.00,0.00,0.05
514,0.05,2.00,0.00,0.05
515,0.00,5.00,0.00,0.00
516,0.00,5.00,0.00,0.00
517,0.15,0.40,0.01,0.30
518,0.15,0.40,0.01,0.30
519,0.15,0.40,0.01,0.30
520,0.05,1.00,0.00,0.15
521,0.00,5.00,0.00,0.00
522,0.01,3.00,0.00,0.01
523,0.01,3.00,0.00,0.01
524,0.01,2.00,0.00,0.05
525,0.01,2.00,0.00,0.05
526,0.01,3.00,0.00,0.01
527,0.01,2.00,0.00,0.05
528,0.01,2.00,0.00,0.05
529,0.01,3.00,0.00,0.01
530,0.01,3.00,0.00,0.01
531,0.02,0.50,0.30,0.40
532,0.02,0.50,0.30,0.40
533,0.02,0.50,0.30,0.40
534,0.02,0.50,0.30,0.40
535,0.02,0.50,0.30,0.40
536,0.02,0.50,0.30,0.40
537,0.02,0.50,0.30,0.40
538,0.05,1.00,0.00,0.15
539,0.05,1.00,0.00,0.15
540,0.05,1.00,0.00,0.15
541,0.40,0.30,0.00,0.30
542,0.40,0.30,0.00,0.30
543,0.15,2.00,0.00,0.05
544,0.40,0.30,0.00,0.30
545,0.01,4.00,0.05,0.01
546,0.01,4.00,0.05,0.01
547,0.00,5.00,0.00,0.00
548,0.00,5.00,0.00,0.00
549,0.00,5.00,0.00,0.00
550,0.00,5.00,0.00,0.00
551,0.00,5.00,0.00,0.00
552,0.05,1.00,0.00,0.15
553,0.00,5.00,0.00,0.00
554,0.00,5.00,0.00,0.00
555,0.20,0.50,0.00,0.20
556,0.01,2.00,0.00,0.05
557,0.01,2.00,0.00,0.05
558,0.01,2.00,0.00,0.05
559,0.01,2.00,0.00,0.05
560,0.01,2.00,0.00,0.05
561,0.01,2.00,0.00,0.05
562,0.01,2.00,0.00,0.05
563,0.01,2.00,0.00,0.05
564,0.02,3.75,0.01,0.01
565,0.01,2.00,0.00,0.05
566,0.02,3.75,0.01,0.01
567,0.01,2.00,0.00,0.05
568,0.02,3.75,0.01,0.01
569,0.00,5.00,0.00,0.00
570,0.00,5.00,0.00,0.00
571,0.00,5.00,0.00,0.00
572,0.40,0.30,0.00,0.30
573,0.40,0.30,0.00,0.30
574,0.15,2.00,0.00,0.05
575,0.01,4.00,0.05,0.01
576,0.15,2.00,0.00,0.05
577,0.00,5.00,0.00,0.00
578,0.01,4.00,0.05,0.01
579,0.01,4.00,0.05,0.01
580,0.01,4.00,0.05,0.01
581,0.00,5.00,0.00,0.00
582,0.00,5.00,0.00,0.00
583,0.00,5.00,0.00,0.00
584,0.00,5.00,0.00,0.00
585,0.00,5.00,0.00,0.00
586,0.00,5.00,0.00,0.00
587,0.00,5.00,0.00,0.00
588,0.00,5.00,0.00,0.00
589,0.00,5.00,0.00,0.00
590,0.00,5.00,0.00,0.00
591,0.00,5.00,0.00,0.00
592,0.02,3.00,0.00,0.02
593,0.02,3.00,0.00,0.02
594,0.05,0.80,0.02,0.10
595,0.05,0.80,0.02,0.10
596,0.05,0.80,0.02,0.10
597,0.05,0.80,0.02,0.10
598,0.02,3.75,0.01,0.01
599,0.02,3.75,0.01,0.01
600,0.02,3.75,0.01,0.01
601,0.02,3.75,0.01,0.01
602,0.02,3.75,0.01,0.01
603,0.02,3.75,0.01,0.01
604,0.02,3.75,0.01,0.01
605,0.02,3.75,0.01,0.01
606,0.02,3.75,0.01,0.01
607,0.02,3.75,0.01,0.01
608,0.02,3.75,0.01,0.01
609,0.02,3.75,0.01,0.01
610,0.02,3.75,0.01,0.01
611,0.00,5.00,0.00,0.00
612,0.40,0.30,0.00,0.30
613,0.40,0.30,0.00,0.30
614,0.15,2.00,0.00,0.05
615,0.15,2.00,0.00,0.05
616,0.40,0.30,0.00,0.30
617,0.01,4.00,0.05,0.01
618,0.01,4.00,0.05,0.01
619,0.15,2.00,0.00,0.05
