Little Hole final habitat variables file,,,,
SFR,6/12/2009 20:50,,,
CellNumber,FracShelt,DistHide,FracSpawn,FracHide
1832,0.02,2,0.02,0.01
1833,0.04,2,0,0.02
1834,0.02,2,0.02,0.01
1835,0.02,2,0.02,0.01
1836,0.1,0.23,0,0.8
1837,0.1,0.23,0,0.8
1838,0.8,0,0,1
1839,0.8,0,0,1
1840,0.8,0,0,1
1841,0.8,0,0,1
1842,0.8,0,0,1
1843,0.05,0.75,0,0.05
1844,0.05,0.75,0,0.05
1845,0,0.3,0,0.15
1846,0.1,0.2,0,0.3
1847,0.1,0.2,0,0.3
1848,0,0.3,0,0.15
1849,0,0.3,0,0.15
1850,0.05,0.1,0,0.7
1851,0.05,0.1,0,0.7
1852,0,1,0,0.1
1853,0,1,0,0.1
1854,0,0,0,1
1855,0,0,0,1
1856,0,0.3,0,0.15
1857,0.1,0.2,0,0.3
1858,0.1,0.23,0,0.8
1859,0.1,0.23,0,0.8
1860,0.1,0.23,0,0.8
1861,0.1,0.23,0,0.8
1862,0.1,0.23,0,0.8
1863,0.05,1.8,0.05,0.02
1864,0.02,2,0.02,0.01
1865,0.05,1.8,0.05,0.02
1866,0.1,0.23,0,0.8
1867,0.1,0.23,0,0.8
1868,0.8,0,0,1
1869,0.8,0,0,1
1870,0.8,0,0,1
1871,0.8,0,0,1
1872,0.05,1.8,0.05,0.02
1873,0.8,0,0,1
1874,0,0.3,0,0.1
1875,0.1,0.23,0,0.8
1876,0,1,0,0.1
1877,0,0.2,0,0.25
1878,0,0,0,1
1879,0,0.3,0,0.1
1880,0,0.3,0,0.1
1881,0,0.2,0,0.25
1882,0,0.1,0,0.3
1883,0,0,0,1
1884,0,0.1,0,0.3
1885,0,0.3,0,0.1
1886,0.1,0.23,0,0.8
1887,0.1,0.23,0,0.8
1888,0.1,0.23,0,0.8
1889,0.1,0.23,0,0.8
1890,0.1,0.23,0,0.8
1891,0.1,0.37,0,0.2
1892,0.1,0.37,0,0.2
1893,0.8,0,0,1
1894,0.8,0,0,1
1895,0.08,1.5,0,0.02
1896,0.08,1.5,0,0.02
1897,0,0.1,0,0.3
1898,0,0.1,0,0.4
1899,0,0.1,0,0.4
1900,0,0.2,0,0.25
1901,0,0.1,0,0.4
1902,0,0.2,0,0.25
1903,0,0.2,0,0.25
1904,0,0.1,0,0.4
1905,0.2,0.22,0,1
1906,0.1,0.23,0,0.8
1907,0.1,0.23,0,0.8
1908,0.1,0.37,0,0.2
1909,0.1,0.23,0,0.8
1910,0.1,0.23,0,0.8
1911,0.1,0.23,0,0.8
1912,0.2,0.22,0,1
1913,0,0.1,0,0.4
1914,0,0.1,0,0.4
1915,0,0.1,0,0.4
1916,0.2,0.22,0,1
1917,0.1,0.23,0,0.8
