Hydraulic input for inSTREAM 5,"Tailrace site, Green River",,,,,,,,,,,,,,,,,,,,,,,
Created from 2008-09 inSTREAM-SD-2D code and input,SF Railsback 11/15/2012,,,,,,,,,,,,,,,,,,,,,,,
flows,17,,23,,30,,35,,40,,60,,70,,85,,100,,115,,130,,142,
CellNumber,Depth@17,Vel@17,Depth@23,Vel@23,Depth@30,Vel@30,Depth@35,Vel@35,Depth@40,Vel@40,Depth@60,Vel@60,Depth@70,Vel@70,Depth@85,Vel@85,Depth@100,Vel@100,Depth@115,Vel@115,Depth@130,Vel@130,Depth@142,Vel@142
56,0,0,0,0,2,9.8,5.4,17.9,9.8,24.9,24.8,38.3,29.8,44.7,37.2,54.2,44.3,61.9,51.3,70.4,57.8,75.2,57.8,75.2
57,28.9,11.8,32.9,16,41.5,17.8,45.8,18.9,51.4,19.4,69.8,17.9,75.9,18.8,85.3,20,94,23.7,102.4,20.4,114.3,23.1,114.3,23.1
58,58.8,21.3,64.7,28.5,77.6,31.2,84.1,33.2,92.5,33.8,120.3,31.8,129.5,33.5,143.5,34.4,156.8,36.8,168.8,32.4,180.6,31.5,180.6,31.5
59,90.7,30.7,96.5,40.3,109.3,43.7,115.7,46.4,124.1,47.2,151.9,46.2,161,48.8,174.8,51.1,188.2,52.6,200.3,47.6,212.6,47.7,212.6,47.7
60,2.4,2.9,4.4,4.3,8.8,5,11,5.4,13.8,5.6,23,5,26.1,5.2,30.9,5.1,36.9,8.6,45.2,8.4,56.8,17.8,56.8,17.8
61,141.7,46.9,147.3,60.3,160,64.8,166.4,69.9,174.8,72,202.6,81.4,211.8,86.2,225.6,92.1,239,96.8,251.2,97.5,263.7,101.2,263.7,101.2
62,117.7,63.6,122.8,77.3,135.6,80.5,141.9,89.3,150.2,95.3,178.1,122.9,187.2,131.8,201.1,143.6,214.4,152.4,226.9,162.8,239.3,169,239.3,169
63,24.4,33.6,27,39.2,40.5,59.4,46.7,71.3,55.1,82.8,83.3,120.9,92,133,105.3,153.1,118.3,168,130.6,186.3,142.8,196.5,142.8,196.5
64,0,0,0.2,0,9.7,34.9,16,49.5,24.5,64.1,53.3,103.4,61.3,113.7,74.1,138.2,86.6,157.2,98.5,179.1,110.2,192.2,110.2,192.2
65,0,0,0,0,2.5,15.2,5.6,23.2,9.9,30.7,24.4,50.1,30.4,60.1,40.2,73.4,49.7,83.9,58.9,95.2,67.9,102,67.9,102
66,0,0,0,0,0,0,0,0,0,0,0,0,2.9,8.4,7.5,10.2,12,11.5,16.5,12,20.8,12.2,20.8,12.2
67,32.3,12.4,36.2,16.8,44.9,18.5,49.2,19.7,54.9,20.1,73.5,18.9,79.7,19.9,89,19.5,99.6,21.6,111.6,20.3,123,26.3,123,26.3
68,29.9,9.5,31.8,12.5,36.1,13.5,38.3,14.3,41.1,14.5,50.5,14,53.5,14.7,59.2,25.3,69.5,29.2,81.6,28.5,93.3,34.8,93.3,34.8
69,41.7,24.9,45.5,33.1,54.1,36.3,58.3,38.8,64,38.8,82.6,40.2,88.4,44.3,99.1,48.3,112.3,52.8,124.6,50.6,136.5,54.4,136.5,54.4
70,70.6,38.1,76.3,50.1,89,55,95.4,58.7,103.9,58.9,131.7,61.5,140.6,67.6,154.9,58.1,168.8,59.1,181.1,56.2,193,60.6,193,60.6
71,93.5,34,99.1,44.4,111.9,48.2,118.4,51.3,126.8,51.9,154.8,52.6,164,56.4,178,54,191.9,53.4,204.1,50.4,216,56,216,56
72,91.5,42.9,96.9,55.1,109.7,60.1,116,64.2,124.4,64.5,152.5,68.1,161.4,74,175.7,69.6,189.6,71.6,202,69.1,213.9,74.6,213.9,74.6
73,126.9,59.1,132.1,71.3,144.8,77.2,151,83.1,159.4,84.9,187.4,95.6,196.4,101.3,210.7,103.1,224.4,106.5,236.9,107.5,248.8,114,248.8,114
74,109.3,77.6,114.3,85.3,126.9,94.6,132.9,103.8,141.1,109.6,168.5,135.7,177.8,141.5,191.9,150.7,205.5,157.4,218.2,165.7,230.2,173.1,230.2,173.1
75,39.2,54.3,44.8,75.7,56.7,89.4,62.2,101.8,70.2,112.8,96.3,152.7,107,152.4,120.7,166.9,134.3,176.7,147,189.7,159.2,198.4,159.2,198.4
76,18.3,22.7,22,44.8,35.3,66.1,41.1,79.2,49.2,91.9,76.4,131.9,86.6,132.2,99.9,151.8,113.3,165.2,125.9,181.9,138,192.5,138,192.5
77,0,0,2.4,18.9,12.3,50.2,18.1,73.3,25.8,89.5,51.9,136,63.9,123.9,76.9,145.6,90.3,159.8,103.1,176.8,115.4,188.2,115.4,188.2
78,0,0,0,0,8.6,36.1,14.9,58.4,23.2,73.9,51.3,114.6,61.3,106.2,73.9,129.8,86.7,146.5,99,166.2,110.8,179.3,110.8,179.3
79,0,0,0,0,2.5,17.1,5.6,30.5,9.7,38.7,23.5,60.5,32.2,69.3,44.5,92.8,57.6,106.1,70.4,118.6,82.7,127.1,82.7,127.1
80,0,0,0,0,0,0,0,0,0,0,0,0,4.4,22.1,12.4,38.5,21.3,45.7,30.3,50.1,38.8,52.9,38.8,52.9
81,0,0,0,0,0,0,0,0,0,0,0,0,2.2,6.3,5.7,7.7,9,8.6,12.4,9,15.6,9.2,15.6,9.2
82,11.8,15.5,13.8,20.6,17.9,22.8,20.1,24.5,22.9,24.3,32.1,26.2,34.9,29.5,43.2,57,56.3,69.5,68.9,69.7,80.8,74.2,80.8,74.2
83,11.8,15.5,13.8,20.6,17.9,22.8,20.1,24.5,25.9,29.4,44.8,29.1,48,67.6,59.5,78.4,73.1,90.4,85.9,91.2,97.7,96.6,97.7,96.6
84,16.6,17.9,19.3,50.9,27.5,57.8,31.4,62.8,40.2,51.2,68.4,53,74.4,108.9,88.3,94.8,101.8,102.3,114.7,101.5,126.5,106.6,126.5,106.6
85,44.5,36.3,48.9,74.1,61.3,83.2,67.3,90,75.9,73.2,103.8,79.6,112.2,103.1,126.7,92.7,140.3,97.8,153.1,96,165,100.7,165,100.7
86,68.7,47,74.1,60.8,86.7,66.9,93,71.6,101.5,71.5,129.4,77,138,85.2,152.6,73.7,166.4,77.3,178.9,74.9,190.9,79.1,190.9,79.1
87,53.1,42.6,57.5,88.1,69.6,99.2,75.5,107.4,83.9,87.9,111.6,96.7,120.6,120.6,134.8,116.8,148.5,121.4,161.4,120.2,173.2,125.7,173.2,125.7
88,96.8,69.1,102,89.7,114.4,99,120.4,106.4,128.7,104.5,156.3,117.6,165.5,126,179.9,125.4,193.6,129.4,206.5,129.8,218.4,135.7,218.4,135.7
89,108.5,93,114.4,106.4,126.3,118.5,132,127.3,140.1,127.4,167.2,145.7,177,151.5,191.2,155,205,159.3,218.1,161.6,229.9,168.7,229.9,168.7
90,99.5,100.5,105.9,105.3,117.4,119.3,122.9,129.2,130.8,136.1,157.2,163.7,167,166.5,181.4,173.6,195.2,179.4,208.1,186.2,220,194.5,220,194.5
91,34.1,63.6,41.7,87.7,52.1,93.2,57.3,112.7,64.9,126.4,89.7,169.4,100.3,163.4,115.3,176.4,129.2,185.3,142.3,196.8,154.4,206.5,154.4,206.5
92,0.7,16.5,4.9,36.2,12.2,43.9,16.3,88,23.4,107.9,46.7,161.8,59.2,139,74.6,157.2,88.8,167.8,102.1,180.8,114.7,190.9,114.7,190.9
93,0,0,0,0,3.2,13.8,5.3,53.8,9.9,68.4,25.1,105.8,35.7,98.6,49.2,126.3,63.3,139.2,76.7,151.6,89.4,160.8,89.4,160.8
94,0,0,0,0,2.1,1.8,2.1,28.3,4.3,36.6,11.5,56.1,17,58.8,28.5,97.9,44,118.6,58.4,131,71.7,140.2,71.7,140.2
95,0,0,0,0,0,0,0,0,0,0,0,0,1.1,10.3,5.3,34.8,13.2,48.1,20.6,54.6,27.4,59.1,27.4,59.1
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,3,5.1,12.7,2.9,17,75.6,27,96.7,40.9,113.4,54.2,116.4,66,123.8,66,123.8
98,3.6,1.8,4.9,46.1,10.4,58.9,13.1,67.7,18.8,59.5,39.1,65,49,128.5,61.4,127.5,75.4,138.2,88.9,139.4,100.5,146.7,100.5,146.7
99,29.5,53.2,34.8,103.6,45.9,125.5,50.8,141.4,57.9,127.8,84,144.5,96.5,154,110.1,156.4,124,161.4,137.4,161.3,148.9,168.3,148.9,168.3
100,82,118.3,89.8,123.4,100.7,141.3,105.4,152.9,112.9,154.4,138.9,176.5,150,177.2,163.8,182.6,177.7,186.9,191,188.9,202.4,196.9,202.4,196.9
101,90.8,118.7,98.1,128.6,108.3,145.1,113.8,153.1,121.4,161.4,146.8,190.7,156.6,192,170.7,200.7,184.5,207,197.6,213.6,208.9,223.7,208.9,223.7
102,38.6,82.2,45.9,112.2,55.3,116.1,61.2,124.6,68.5,139.5,92.8,180.4,101,180.1,116.4,187.2,130.1,197.8,142.9,209,154.2,221.7,154.2,221.7
103,4,30.5,7.7,49.5,13.7,46.9,18.2,93,25.2,114.9,48.4,165.6,55.3,158.2,72.6,158.2,86.6,171.9,99.5,185.5,110.9,199,110.9,199
104,0,0,0,0,2.1,1.8,4.1,56.4,8.7,72.7,23.8,108.1,28.3,100.4,42.5,115.7,58.2,136.9,72.2,150.8,84.8,162.8,84.8,162.8
105,0,0,0,0,0.1,0,3.9,40.7,7.3,52.8,19,77.7,22.7,74.3,29.5,90.2,39.7,109.7,48.9,122.5,56.9,134.3,56.9,134.3
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,18.2,8.3,29.9,13.6,34.8,18.4,38.1,18.4,38.1
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,10.6,1.3,11.9,35.3,17.9,49.2,16.8,74.2,20.6,68.2,36.2,80.2,49.5,137.5,61.6,150.1,76,164.1,88.9,169.7,99.6,182.2,99.6,182.2
109,27.9,22,30.4,77.4,42.4,103.5,40,151.1,48.3,141.1,74.1,158,86.4,162.1,98.8,173.9,112.8,182.9,126,187.9,136.6,199.4,136.6,199.4
110,27.9,67,33.1,103.6,43.9,131.4,45.7,160.5,53.1,159.9,78.3,184.7,92.5,174.4,105.3,183.2,119.4,189.2,132.9,191.5,144,200.7,144,200.7
111,51.1,87.6,56.4,101.5,67.2,122.3,69.2,160.7,78,157.1,103.8,181.8,114.9,181,127.2,193.2,141.1,200.2,154.5,203.9,165.2,214.8,165.2,214.8
112,81.6,116.4,87.8,128,97.7,147.8,103.1,168.2,111,169.3,136.3,194.5,147,196.6,159.1,210.7,172.7,217.3,186.1,221.1,196.7,232.3,196.7,232.3
113,82.3,121.9,87.7,145.7,97.2,163.7,104,163.5,111.5,171.8,136.6,201.7,146.3,203.5,157.8,221.8,170.9,230.9,183.9,238,194.3,251.1,194.3,251.1
114,35.2,91,39.8,127.8,49,143.6,56.9,126.6,64,142.9,88.6,182.8,97.3,179.8,108,198.2,120.2,213.7,131.9,226.8,141.6,243.3,141.6,243.3
115,6.5,35.1,8.5,56.7,13.1,64.3,21.2,90.5,28,113.1,51.9,161.3,59.6,154.6,69.7,164.7,81.2,185.4,91.9,203,100.8,221.6,100.8,221.6
116,0,0,0.7,2.2,3.4,1.9,7.8,22.2,11.4,31,24.6,48.1,30,43.9,33.8,46.1,39.7,51.3,45.4,57.9,50.3,61.2,50.3,61.2
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,8.2,29.6,11.2,37.8,19,43.6,27.8,51.1,35.1,68.8,61.5,103.3,72.1,95,80.2,100,92.3,110.7,103.8,123.3,113.9,129.9,113.9,129.9
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
